URL,ID_NUMBER,Tags
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235623,AC 1979.77.1-10,rectangles; art; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235624,AC 1979.77.1-10,utensils; dishes; tools; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235625,AC 1979.77.1-10,dishes; tools; utensils; households; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235626,AC 1979.77.1-10,utensils; tools; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235627,AC 1979.77.1-10,dishes; utensils; tools; jewelry
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237428,AC 1979.79,dishes; plates; blue; pottery
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237429,AC 1979.79,dishes; plates; pottery; music; musical instruments
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237430,AC 1979.79,dishes; blue; plates
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237431,AC 1979.79,dishes; plates; blue; pottery
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237432,AC 1979.79,dishes; blue; plates; pottery
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301738,AC 1980.119.1-5,woods; art; sculpture; rectangles; photography; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301730,AC 1980.119.1-5,tables; woods; rectangles; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301731,AC 1980.119.1-5,tables; woods; rectangles; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301732,AC 1980.119.1-5,furniture; tables; rectangles; woods; sculpture; art; columns; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301733,AC 1980.119.1-5,chairs; rectangles; art; stairs; woods; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301734,AC 1980.119.1-5,rectangles; tables; chairs
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301735,AC 1980.119.1-5,rectangles; symmetry
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301736,AC 1980.119.1-5,furniture; tables; rectangles; woods; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301737,AC 1980.119.1-5,furniture; rectangles; woods; art; pedestals; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301739,AC 1980.119.1-5,toys; chairs; art; rectangles; woods; wings; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3052141,AC 1981.127.a,heads; art; cartoons; people
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3072682,AC 1981.127.b,art; rectangles; painting; drawing
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237434,"AC 1981.9.a,b",dishes; blue; drinks
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237457,"AC 1981.9.a,b",blue; art; circles; symmetry; lighting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3212220,AC 1945.482.a,art; moustaches; portraits; self-portraits; stories; people; animals
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3155030,AC 1947.38.a,nose; art; rectangles; portraits; self-portraits; people
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3234763,AC 1945.199.a,dishes; cups
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235669,"AC 1945.218.a,b",dishes; utensils; spoons; circles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235636,"AC 1964.107.a,b",dishes; utensils; tools; spoons; circles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232691,"AC 1951.265.a,b",dishes; vases; chairs; blue
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232601,"AC 1951.266.a,b",
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232639,"AC 1951.267.a,b",blue; bottles; rectangles; storage
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232692,"AC 1951.271.a,b",dishes; vases
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232642,AC 1951.273.a-l,dishes; utensils; bowls; circles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232649,AC 1951.284.a-d,dishes; art; symmetry; circles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232673,"AC 1951.287.a,b",dishes; circles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3277808,"AC 1951.288.a,b",circles; symmetry; lighting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3277809,"AC 1951.288.a,b",jewelry; circles; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232592,AC 1951.290,vases; dishes; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3290104,AC 1951.292.a-d,dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232651,"AC 1951.293.a,b",transparencies
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232653,"AC 1951.294.a,b",sculpture; art; vases
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232590,"AC 1951.297.a,b",jewelry; plants; art; rectangles
