URL,ID_NUMBER,Tags
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301737,AC 1980.119.1-5,furniture; rectangles; woods; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301739,AC 1980.119.1-5,toys; chairs; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3052141,AC 1981.127.a,art; cartoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3072682,AC 1981.127.b,art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237434,"AC 1981.9.a,b",tables; blue; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237457,"AC 1981.9.a,b",blue; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3212220,AC 1945.482.a,art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3155030,AC 1947.38.a,art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3234763,AC 1945.199.a,tables; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235669,"AC 1945.218.a,b",tables; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235636,"AC 1964.107.a,b",tables; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232691,"AC 1951.265.a,b",tables; vases; dishes; chairs; blue
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232601,"AC 1951.266.a,b",
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232639,"AC 1951.267.a,b",blue; bottles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232692,"AC 1951.271.a,b",tables; dishes; vases
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232642,AC 1951.273.a-l,dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232649,AC 1951.284.a-d,dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232673,"AC 1951.287.a,b",
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3277808,"AC 1951.288.a,b",
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3277809,"AC 1951.288.a,b",jewelry
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232592,AC 1951.290,vases; tables; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3290104,AC 1951.292.a-d,tables; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232651,"AC 1951.293.a,b",
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232653,"AC 1951.294.a,b",sculpture; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232590,"AC 1951.297.a,b",jewelry
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3310052,"AC 1951.298.a,b",yellow; art; lighting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3234777,AC 1964.106.a,tables
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3057383,AC 1989.113,birds; painting; art; grasses
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3292108,AC 1964.57.a,clouds; buildings; doors; windows
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3292109,AC 1964.57.a,statues; sculpture; temples; brick; bricks; art; standing; stands
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293365,AC 1964.57.a,
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293366,AC 1964.57.a,pedestals; light; statues; sculpture; bodies; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293367,AC 1964.57.a,sculpture; statues; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293368,AC 1964.57.a,statues; sculpture; bodies; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293369,AC 1964.58.a,statues; pedestals; sculpture; architecture; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293370,AC 1964.58.a,pedestals; statues; sculpture; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293371,AC 1964.58.a,sculpture; statues; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293372,AC 1964.58.a,sculpture; statues; bodies; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301484,AC 1964.61.a,art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293375,AC 1964.67.a,pedestals; sculpture; statues; bodies; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293376,AC 1964.67.b,sculpture; statues; art; pedestals
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293377,AC 1964.67.c,pedestals; sculpture; statues; bodies; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293378,AC 1964.67.d,sculpture; statues; pedestals; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3310058,"AC 1969.20.a,b",vases; light; black; pottery; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3290102,"AC 1971.52.a,b",lamps
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232659,"AC 1971.53.a,b",
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3290100,AC 1972.110.a-d,tables; dishes; art; lighting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3290101,AC 1972.110.a-d,lighting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235095,AC 1972.98.a-d,tables; jewelry; dishes; blue; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235096,AC 1972.99.a-d,tables; dishes; jewelry; cups; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237416,"AC 1973.16.a,b",blue; tables
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232670,"AC 1974.21.a,b",bottles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3234782,AC 1976.69.a-c,
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3234783,AC 1976.69.a-c,tables; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3234784,AC 1976.69.a-c,tables; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3089644,AC 1978.24.b,rectangles; nature; botany; vegetation; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3237413,AC 1961.132.a-c,tables; dishes; plates
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3276997,"AC 1962.31.a,b",brown; jewelry; mirrors
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3276998,"AC 1962.32.a,b",jewelry; rectangles; belts
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3276999,"AC 1962.33.a,b",rectangles; stools
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3277000,"AC 1962.34.a,b",rectangles; tables; woods; mirrors
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3290005,AC 1962.43.a-c,rectangles
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3084262,AC 1991.84,
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235592,"AC 1963.17.a,b",tables; kitchens; utensils
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235591,"AC 1963.18.a,b",tables; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235585,"AC 1963.24.a,b",tables; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235575,"AC 1963.34.a,b",tables; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235565,"AC 1963.42.a,b",tables; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235564,"AC 1963.43.a,b",tables; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235559,"AC 1963.48.a,b",tables; kitchens; utensils
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235557,"AC 1963.50.a,b",tables; kitchens; utensils; spoons
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3235556,AC 1963.51,tables; kitchens; utensils; spoons
